,n_hours,mean_pm,median_sigma,time_local,af_at,af_local_at,time_local_winter,time_local_summer,winter_summer_ratio,is_candidate
SL001,19788.0,3.276,0.221,0.095,0.289,0.078,0.103,0.066,1.566,True
SL003,14684.0,7.437,1.606,0.362,0.493,0.078,0.452,0.262,1.725,True
SL005,15741.0,5.177,0.339,0.104,0.301,0.077,0.147,0.067,2.18,True
SL006,28057.0,3.57,0.355,0.093,0.293,0.086,0.13,0.056,2.334,True
SL008,18367.0,1.842,0.244,0.093,0.218,0.093,0.146,0.053,2.735,True
SL009,4391.0,5.449,0.201,0.083,0.19,0.04,0.081,0.096,0.84,True
SL011,18805.0,1.915,0.127,0.052,0.199,0.064,0.076,0.027,2.767,True
SL012,28579.0,7.131,0.738,0.198,0.381,0.084,0.246,0.134,1.833,True
SL015,12564.0,7.238,1.175,0.315,0.496,0.125,0.389,0.213,1.832,True
SL016,24620.0,3.86,0.221,0.098,0.308,0.078,0.151,0.048,3.168,True
SL018,11745.0,1.761,0.162,0.079,0.254,0.088,0.098,0.065,1.497,True
SL019,22860.0,8.238,0.675,0.184,0.361,0.08,0.238,0.133,1.786,True
SL020,18142.0,5.224,0.636,0.154,0.354,0.095,0.196,0.131,1.496,True
SL021,13763.0,4.698,0.825,0.213,0.396,0.11,0.229,0.189,1.207,True
SL022,16803.0,5.403,0.447,0.122,0.306,0.066,0.184,0.076,2.438,True
SL023,8635.0,2.909,0.606,0.149,0.336,0.112,0.173,0.092,1.89,True
SL026,19129.0,2.485,0.093,0.042,0.249,0.064,0.055,0.031,1.791,True
SL027,27237.0,5.978,0.44,0.094,0.257,0.053,0.122,0.061,2.01,True
SL028,2709.0,3.268,0.328,0.106,0.287,0.072,0.143,0.065,2.205,True
SL029,5787.0,5.26,0.521,0.152,0.385,0.116,0.172,0.142,1.213,True
SL032,5200.0,4.134,0.764,0.174,0.329,0.073,0.162,0.183,0.89,True
SL034,12820.0,5.263,0.487,0.107,0.221,0.051,0.138,0.069,2.0,True
SL035,18153.0,7.295,0.652,0.147,0.325,0.062,0.165,0.122,1.358,True
SL037,5929.0,5.417,0.4,0.093,0.247,0.045,0.101,0.058,1.736,True
SL040,18900.0,5.224,0.371,0.102,0.282,0.067,0.112,0.086,1.294,True
SL041,9279.0,5.713,0.809,0.177,0.373,0.086,0.193,0.166,1.164,True
SL042,20473.0,5.993,0.518,0.132,0.323,0.081,0.216,0.068,3.162,True
SL044,19238.0,3.141,0.324,0.097,0.244,0.068,0.119,0.066,1.796,True
SL045,8234.0,3.444,0.562,0.149,0.298,0.098,0.209,0.079,2.658,True
SL050,22061.0,4.797,0.429,0.134,0.334,0.092,0.203,0.077,2.652,True
SL051,7096.0,8.313,0.334,0.08,0.276,0.034,0.124,0.045,2.779,True
SL056,15307.0,5.017,0.863,0.201,0.357,0.084,0.207,0.185,1.118,True
SL062,13566.0,1.95,0.057,0.033,0.285,0.049,0.067,0.014,4.927,True
SL068,8726.0,4.077,0.324,0.064,0.225,0.056,0.145,0.048,3.019,True
SL025,26090.0,3.426,0.341,0.082,0.239,0.068,0.086,0.069,1.248,False
SL007,28491.0,4.813,0.412,0.101,0.268,0.071,0.141,0.063,2.227,False
SL055,12057.0,4.931,0.456,0.107,0.272,0.059,0.112,0.106,1.051,False
SL017,13810.0,5.172,0.653,0.183,0.421,0.125,0.276,0.082,3.374,False
